Acoustic transmitter,Movement number,Station,Tidal,Arrival,Departure,Time spent
4,1,"Strawberry Vale, Teddington",0,2005-05-21T17:04:59Z,2005-06-19T00:39:24Z,28.3155671296296
4,2,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-20T16:05:23Z,2005-06-21T02:23:52Z,0.429502314814815
4,3,"Thames Path, Kew Bridge",1,2005-06-21T04:27:55Z,2005-06-23T13:47:39Z,2.3887037037037
4,4,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-06-23T18:40:53Z,2005-06-25T04:19:38Z,1.40190972222222
4,5,"Strawberry Vale, Teddington",0,2005-06-25T08:59:00Z,2005-07-03T01:09:55Z,7.67424768518519
4,6,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-03T02:28:16Z,2005-07-04T02:00:52Z,0.980972222222222
4,7,"Thames Path, Kew Bridge",1,2005-07-04T07:30:05Z,2005-07-06T09:41:10Z,2.09103009259259
4,8,"Chiswick Pier, Corney Reach Way",1,2005-07-06T22:35:41Z,2005-07-07T00:42:10Z,0.0878356481481482
4,9,"Thames Path, Kew Bridge",1,2005-07-07T02:04:51Z,2005-07-07T15:38:26Z,0.564988425925926
4,10,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-08T03:45:51Z,2005-07-21T14:31:12Z,13.4481597222222
4,11,"Thames Path, Kew Bridge",1,2005-07-21T20:21:34Z,2005-07-22T07:40:35Z,0.471539351851852
4,12,"Chiswick Pier, Corney Reach Way",1,2005-07-22T22:04:28Z,2005-07-23T01:42:37Z,0.151493055555556
4,13,"Thames Path, Kew Bridge",1,2005-07-24T02:08:38Z,2005-07-24T14:01:01Z,0.494710648148148
4,14,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-24T20:53:35Z,2005-07-25T00:31:54Z,0.151608796296296
4,15,"Strawberry Vale, Teddington",0,2005-07-25T06:16:33Z,2005-07-31T01:18:58Z,5.79334490740741
4,16,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-07-31T04:54:02Z,2005-07-31T23:28:20Z,0.773819444444444
4,17,"Thames Path, Kew Bridge",1,2005-08-01T04:03:12Z,2005-08-01T04:35:52Z,0.0226851851851852
4,18,"Chiswick Pier, Corney Reach Way",1,2005-08-01T07:27:03Z,2005-08-01T07:40:33Z,0.009375
4,19,"Thames Path, Kew Bridge",1,2005-08-01T22:06:52Z,2005-08-03T15:01:06Z,1.7043287037037
4,20,"Chiswick Pier, Corney Reach Way",1,2005-08-03T17:30:41Z,2005-08-08T13:55:42Z,4.85070601851852
4,21,"Thames Path, Kew Bridge",1,2005-08-08T17:01:17Z,2005-08-12T20:12:33Z,4.13282407407407
4,22,"Chiswick Pier, Corney Reach Way",1,2005-08-13T09:38:39Z,2005-08-13T09:44:17Z,0.00391203703703704
4,23,"Thames Path, Kew Bridge",1,2005-08-20T03:09:42Z,2005-08-20T10:43:27Z,0.315104166666667
4,24,"Alexandra Rd, u/s of Thames Ditton Island",0,2005-08-21T07:25:31Z,2005-08-22T01:42:15Z,0.76162037037037
4,25,"Strawberry Vale, Teddington",0,2005-08-22T05:39:17Z,2005-10-20T05:20:16Z,58.9867939814815
46,1,"Hambhaugh Island, Weybridge Lock",0,2005-04-04T11:53:34Z,2005-04-04T14:26:26Z,0.106157407407407
46,2,"Thames Meadow, u/s of Walton Bridge",0,2005-04-05T03:58:50Z,2005-04-05T22:09:17Z,0.757256944444444
46,3,"Hambhaugh Island, Weybridge Lock",0,2005-04-06T03:25:08Z,2005-04-06T19:01:14Z,0.650069444444445
